location,organization,type,date,unit,weight1,item1,weight2,prompt,text,item2
Waihi,Plastic Pollution Coalition,press release,2015-10-12,,,metal bottle caps,,"Generate a press release for a beach cleanup where metal bottle caps were cleaned.
Organization: Plastic Pollution Coalition
Date: 2015-10-12
Location: Waihi
###
",Text not generated,
Bravo Hills,Sea Change Project,press release,2021-11-29,lbs,500.0,aerosols,,"Generate a press release for a beach cleanup where 500 lbs of aerosols were cleaned.
Organization: Sea Change Project
Date: 2021-11-29
Location: Bravo Hills
###
",Text not generated,
Kakadu National Park,Rameau Project,instagram caption,2015-06-15,kgs,200.0,trash,,"Generate an instagram caption for a beach cleanup where 200 kgs of trash were cleaned.
Organization: Rameau Project
Date: 2015-06-15
Location: Kakadu National Park
###
",Text not generated,
"Lively, punta",Seabin Project,press release,2018-04-24,lbs,350.0,paper bags,,"Generate a press release for a beach cleanup where 350 lbs of paper bags were cleaned.
Organization: Seabin Project
Date: 2018-04-24
Location: Lively, punta
###
",Text not generated,
Zomba,Surfrider Foundation,instagram caption,2016-08-11,units,400.0,trash,,"Generate an instagram caption for a beach cleanup where 400 units of trash were cleaned.
Organization: Surfrider Foundation
Date: 2016-08-11
Location: Zomba
###
",Text not generated,
Kaunalā Beach,,press release,2015-06-19,lbs,200.0,aluminium foils,,"Generate a press release for a beach cleanup where 200 lbs of aluminium foils were cleaned.
Date: 2015-06-19
Location: Kaunalā Beach
###
",Text not generated,
Hulcombe Ridge,Seabin Project Australia,press release,2017-08-31,units,222.0,plastic,,"Generate a press release for a beach cleanup where 222 units of plastic were cleaned.
Organization: Seabin Project Australia
Date: 2017-08-31
Location: Hulcombe Ridge
###
",Text not generated,
"Lepanto, Mount",Sea Shepherd Conservation Society,instagram caption,2016-02-20,pounds,160.0,plastic,,"Generate an instagram caption for a beach cleanup where 160 pounds of plastic were cleaned.
Organization: Sea Shepherd Conservation Society
Date: 2016-02-20
Location: Lepanto, Mount
###
",Text not generated,
La Playa de Guadalupe,Ocean Heroes,press release,2019-09-24,pounds,240.0,plastic,,"Generate a press release for a beach cleanup where 240 pounds of plastic were cleaned.
Organization: Ocean Heroes
Date: 2019-09-24
Location: La Playa de Guadalupe
###
",Text not generated,
Inan Peak,Scuba Nation,instagram caption,2020-12-02,kilograms,397.0,trash,,"Generate an instagram caption for a beach cleanup where 397 kilograms of trash were cleaned.
Organization: Scuba Nation
Date: 2020-12-02
Location: Inan Peak
###
",Text not generated,
Wonboyn Beach,Marine Debris Solutions,press release,,lbs,400.0,trash,,"Generate a press release for a beach cleanup where 400 lbs of trash were cleaned.
Organization: Marine Debris Solutions
Location: Wonboyn Beach
###
",Text not generated,
Huntly,Project AWARE,press release,2019-11-05,units,300.0,trash,,"Generate a press release for a beach cleanup where 300 units of trash were cleaned.
Organization: Project AWARE
Date: 2019-11-05
Location: Huntly
###
",Text not generated,
Trivelpiece Island,Shore Buddies,press release,2020-02-05,kilograms,35.0,styrofoam pieces,,"Generate a press release for a beach cleanup where 35 kilograms of styrofoam pieces were cleaned.
Organization: Shore Buddies
Date: 2020-02-05
Location: Trivelpiece Island
###
",Text not generated,
Scituate Coast Guard Station,The Ocean Cleanup,press release,2017-10-15,lbs,410.0,trash,,"Generate a press release for a beach cleanup where 410 lbs of trash were cleaned.
Organization: The Ocean Cleanup
Date: 2017-10-15
Location: Scituate Coast Guard Station
###
",Text not generated,
Anganja Beach,The Surfrider Foundation South Africa,instagram caption,2021-07-29,kilograms,300.0,trash,,"Generate an instagram caption for a beach cleanup where 300 kilograms of trash were cleaned.
Organization: The Surfrider Foundation South Africa
Date: 2021-07-29
Location: Anganja Beach
###
",Text not generated,
Shelly Beach Park,Sea Turtle Conservancy USA,instagram caption,2021-10-01,pounds,288.0,trash,,"Generate an instagram caption for a beach cleanup where 288 pounds of trash were cleaned.
Organization: Sea Turtle Conservancy USA
Date: 2021-10-01
Location: Shelly Beach Park
###
",Text not generated,
Playa de Batata,Coastal Care Botswana,instagram caption,2017-04-30,lbs,200.0,trash,,"Generate an instagram caption for a beach cleanup where 200 lbs of trash were cleaned.
Organization: Coastal Care Botswana
Date: 2017-04-30
Location: Playa de Batata
###
",Text not generated,
Janosy Hill,Upcycle the Gyres,press release,2015-12-19,,,"aluminium foils, scrap metals, and normal papers",,"Generate a press release for a beach cleanup where aluminium foils, scrap metals, and normal papers were cleaned.
Organization: Upcycle the Gyres
Date: 2015-12-19
Location: Janosy Hill
###
",Text not generated,
United States Coast Guard Academy,Trash Free Seas Alliance,instagram caption,2020-04-07,lbs,20.0,plastic,,"Generate an instagram caption for a beach cleanup where 20 lbs of plastic were cleaned.
Organization: Trash Free Seas Alliance
Date: 2020-04-07
Location: United States Coast Guard Academy
###
",Text not generated,
City of Belleair Beach,Plastic Oceans,press release,2017-11-18,units,300.0,toilet tubes,,"Generate a press release for a beach cleanup where 300 units of toilet tubes were cleaned.
Organization: Plastic Oceans
Date: 2017-11-18
Location: City of Belleair Beach
###
",Text not generated,
